prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,128,32,128,89.2594
16,128,32,256,121.856
16,128,32,512,189.057
16,128,32,1024,330.026
16,128,32,2048,587.776
16,128,32,4096,1146.54
16,128,32,8192,2354.76
16,128,32,16384,4616.84
16,128,64,16,105.088
16,128,64,32,105.984
16,128,64,64,108.459
16,128,64,128,166.656
16,128,64,256,234.646
16,128,64,512,366.592
16,128,64,1024,619.5
16,128,64,2048,1107.97
16,128,64,4096,2886.42
16,128,64,8192,5835.5
16,128,64,16384,11733
16,128,128,16,193.067
16,128,128,32,194.987
16,128,128,64,203.328
16,128,128,128,330.112
16,128,128,256,483.99
16,128,128,512,779.63
16,128,128,1024,1345.8
16,128,128,2048,3085.88
16,128,128,4096,8595.48
16,128,128,8192,17312.6
16,128,128,16384,43055.4
16,256,0,0,26.1334
16,256,1,16,24.9606
16,256,1,32,24.8746
16,256,1,64,25.1734
16,256,1,128,24.7674
16,256,1,256,25.622
16,256,1,512,34.5386
16,256,1,1024,56.3194
16,256,1,2048,100.928
16,256,1,4096,189.546
16,256,1,8192,370.048
16,256,1,16384,729.858
16,256,2,16,24.9386
16,256,2,32,24.7894
16,256,2,64,24.8534
16,256,2,128,24.618
16,256,2,256,25.258
16,256,2,512,34.774
16,256,2,1024,56.6194
16,256,2,2048,100.544
16,256,2,4096,189.846
16,256,2,8192,368.79
16,256,2,16384,727.278
16,256,4,16,24.832
16,256,4,32,25.044
16,256,4,64,25.0446
16,256,4,128,25.152
16,256,4,256,25.984
16,256,4,512,36.054
16,256,4,1024,58.5386
16,256,4,2048,104.065
16,256,4,4096,194.645
16,256,4,8192,378.922
16,256,4,16384,735.852
16,256,8,16,34.7526
16,256,8,32,35.0294
16,256,8,64,35.328
16,256,8,128,39.6366
16,256,8,256,45.8026
16,256,8,512,65.7506
16,256,8,1024,110.505
16,256,8,2048,199.893
16,256,8,4096,378.624
16,256,8,8192,745.58
16,256,8,16384,1473.45
16,256,16,16,43.776
16,256,16,32,43.9254
16,256,16,64,44.7786
16,256,16,128,54.5074
16,256,16,256,66.3886
16,256,16,512,98.09
16,256,16,1024,165.824
16,256,16,2048,296.79
16,256,16,4096,561.71
16,256,16,8192,1123.8
16,256,16,16384,2211
16,256,32,16,68.4806
16,256,32,32,68.4794
16,256,32,64,70.6774
16,256,32,128,94.5714
16,256,32,256,123.798
16,256,32,512,188.971
16,256,32,1024,331.948
16,256,32,2048,589.718
16,256,32,4096,1149.34
16,256,32,8192,2365.14
16,256,32,16384,4622.22
16,256,64,16,110.912
16,256,64,32,112.555
16,256,64,64,114.517
16,256,64,128,168.727
16,256,64,256,237.612
16,256,64,512,366.53
16,256,64,1024,622.85
16,256,64,2048,1112.47
16,256,64,4096,2896.4
16,256,64,8192,5818.48
16,256,64,16384,11703.6
16,256,128,16,199.062
16,256,128,32,201.238
16,256,128,64,209.088
16,256,128,128,331.328
16,256,128,256,488.384
16,256,128,512,781.678
16,256,128,1024,1345.46
16,256,128,2048,3096.82
16,256,128,4096,8609.12
16,256,128,8192,17220.4
16,256,128,16384,42924.2
16,512,0,0,35.6474
16,512,1,16,35.1786
16,512,1,32,35.1146
16,512,1,64,35.2426
16,512,1,128,34.8154
16,512,1,256,35.05
16,512,1,512,35.2646
16,512,1,768,44.8214
16,512,1,1024,56.4046
16,512,1,1152,61.46
16,512,1,1728,84.7146
16,512,1,2048,100.885
16,512,1,2592,123.669
16,512,1,3888,178.709
16,512,1,4096,189.953
16,512,1,5832,263.084
16,512,1,8192,369.43
16,512,1,8748,393.494
16,512,1,13122,581.994
16,512,1,16384,728.554
16,512,2,16,35.0926
16,512,2,32,35.1574
16,512,2,64,34.9446
16,512,2,128,34.7094
16,512,2,256,34.8374
16,512,2,512,35.37
16,512,2,768,45.6746
16,512,2,1024,56.4694
16,512,2,1152,62.25
16,512,2,1728,85.312
16,512,2,2048,101.119
16,512,2,2592,124.224
16,512,2,3888,178.731
16,512,2,4096,190.485
16,512,2,5832,262.506
16,512,2,8192,369.578
16,512,2,8748,392.298
16,512,2,13122,582.188
16,512,2,16384,727.914
16,512,4,16,35.1374
16,512,4,32,35.2426
16,512,4,64,35.3706
16,512,4,128,35.5206
16,512,4,256,35.968
16,512,4,512,36.5014
16,512,4,768,46.8486
16,512,4,1024,58.282
16,512,4,1152,64.1286
16,512,4,1728,87.8506
16,512,4,2048,104.319
16,512,4,2592,128.064
16,512,4,3888,182.593
16,512,4,4096,195.627
16,512,4,5832,270.42
16,512,4,8192,378.752
16,512,4,8748,400.406
16,512,4,13122,591.382
16,512,4,16384,735.106
16,512,8,16,45.4826
16,512,8,32,45.4606
16,512,8,64,46.038
16,512,8,128,50.4746
16,512,8,256,56.4054
16,512,8,512,66.8166
16,512,8,768,88.128
16,512,8,1024,111.745
16,512,8,1152,122.474
16,512,8,1728,167.169
16,512,8,2048,199.786
16,512,8,2592,245.504
16,512,8,3888,356.65
16,512,8,4096,379.03
16,512,8,5832,523.906
16,512,8,8192,743.64
16,512,8,8748,784.534
16,512,8,13122,1180.95
16,512,8,16384,1472.17
16,512,16,16,54.528
16,512,16,32,54.6354
16,512,16,64,55.6806
16,512,16,128,65.152
16,512,16,256,76.1814
16,512,16,512,98.9654
16,512,16,768,131.52
16,512,16,1024,165.568
16,512,16,1152,181.825
16,512,16,1728,250.986
16,512,16,2048,298.156
16,512,16,2592,366.146
16,512,16,3888,531.564
16,512,16,4096,566.208
16,512,16,5832,785.644
16,512,16,8192,1126.32
16,512,16,8748,1194.11
16,512,16,13122,1767.4
16,512,16,16384,2210.78
16,512,32,16,79.04
16,512,32,32,79.722
16,512,32,64,81.216
16,512,32,128,105.259
16,512,32,256,133.675
16,512,32,512,190.443
16,512,32,768,260.074
16,512,32,1024,332.31
16,512,32,1152,365.718
16,512,32,1728,493.526
16,512,32,2048,591.19
16,512,32,2592,729.24
16,512,32,3888,1072.15
16,512,32,4096,1151.32
16,512,32,5832,1680.69
16,512,32,8192,2363.22
16,512,32,8748,2507.24
16,512,32,13122,3709.14
16,512,32,16384,4629.82
16,512,64,16,125.248
16,512,64,32,125.995
16,512,64,64,128.619
16,512,64,128,176.79
16,512,64,256,240.576
16,512,64,512,368.066
16,512,64,768,494.358
16,512,64,1024,626.476
16,512,64,1152,689.26
16,512,64,1728,939.438
16,512,64,2048,1111.92
16,512,64,2592,1445.49
16,512,64,3888,2692.74
16,512,64,4096,2894.22
16,512,64,5832,4169.5
16,512,64,8192,5828.12
16,512,64,8748,6201.04
16,512,64,13122,9306.66
16,512,64,16384,11659.1
16,512,128,16,210.134
16,512,128,32,211.926
16,512,128,64,220.482
16,512,128,128,335.616
16,512,128,256,488.662
16,512,128,512,782.146
16,512,128,768,1065.11
16,512,128,1024,1350
16,512,128,1152,1480.41
16,512,128,1728,2254.36
16,512,128,2048,3082.2
16,512,128,2592,4654.04
16,512,128,3888,8172.26
16,512,128,4096,8608.18
16,512,128,5832,12214.5
16,512,128,8192,17398.6
16,512,128,8748,18345.4
16,512,128,13122,33502.8
16,512,128,16384,43295.4
16,768,0,0,45.8446
16,768,1,512,45.2686
16,768,1,768,45.568
16,768,1,1152,61.6534
16,768,1,1728,84.6926
16,768,1,2592,123.989
16,768,1,3888,178.176
16,768,1,5832,262.634
16,768,1,8748,393.238
16,768,1,13122,582.356
16,768,1,16384,729.898
16,768,2,512,45.3334
16,768,2,768,45.7174
16,768,2,1152,61.8454
16,768,2,1728,85.29
16,768,2,2592,124.737
